"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01","WV03"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-02-07",,,,,,,,"30",,"23",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-02-28",,,,,,,,"17",,"13",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-03-01","5.14"," 2009"," 2007","0.01",,"0.0","0.0",,"18","7",,"  160","  150",,"8.1","8.9","    1",,,,,,,,,,,,,,,"    1","    1",,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-03-02","4.70"," 2226"," 2224","0.00",,,,,"22","9",,"   40","   20",,"8.1","8.9","    1",,,,,,,"    1",,,,,,,,,"    1",,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-03-03","8.50"," 1438"," 1342","0.00",,,,,"54","16",,"  130","  120",,"21.9","25.1","    1",,,,,,,"    1",,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-03-04","13.87"," 1429"," 1442","0.00",,,,,"56","25",,"  310","  320",,"40.9","44.1","    1",,,,,,,"    1",,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-03-05","8.72"," 2133"," 2132","0.00",,,,,"52","21",,"   20","   20",,"21.9","25.1","    1","    1",,,,,,"    1",,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-03-06","8.28"," 0837"," 0925","0.13",,,,,"32","7",,"   40","   20",,"21.9","23.0","    1","    1",,,,,,"    1",,,,,,,,,"    1",,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-03-07","8.72"," 1248"," 1236","0.00",,,,,"36","3",,"  140","  140",,"17.9","21.0",,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-03-08","13.42"," 1457"," 1456","0.00",,,,,"51","21",,"  170","  170",,"21.9","25.9",,,,,,,,,,,,,,,,,,,,,,
